,portfolio_return
2016-02-29,-0.018192619928544415
2016-03-31,-0.06381028642064164
2016-04-30,0.021569568507479042
2016-05-31,0.0438121090594125
2016-06-30,-0.018667221018964786
2016-07-31,-0.010442487784333248
2016-08-31,0.008599194286166734
2016-09-30,0.021666322860366
2016-10-31,-0.016053310489040643
2016-11-30,0.00984320082849499
2016-12-31,-0.0008307741190336504
2017-01-31,-0.028877471195780213
2017-02-28,-0.006213117112285374
2017-03-31,-0.017737479070671837
2017-04-30,-0.009687401682165753
2017-05-31,0.01834620197424508
2017-06-30,0.006445666022172338
2017-07-31,0.023852433565830444
2017-08-31,0.013578596412162528
2017-09-30,0.039323560510790743
2017-10-31,-0.004040916408403875
2017-11-30,-0.008472111054658874
2017-12-31,0.015383686570462627
2018-01-31,0.05031080270455568
2018-02-28,-0.0664198921861013
2018-03-31,0.007897097828193922
2018-04-30,0.015835673777632585
2018-05-31,-0.05747859186183808
2018-06-30,0.007200562149590306
2018-07-31,0.01375945752585195
2018-08-31,0.017547908331798978
2018-09-30,-0.1060566256152845
2018-10-31,-0.003382820299737615
2018-11-30,-0.024866317163855685
2018-12-31,-0.01438185320353165
2019-01-31,-0.017848463638207544
2019-02-28,0.02466629342970335
2019-03-31,-0.06260073642136373
2019-04-30,0.08225544336117745
2019-05-31,-0.04621831205850424
2019-06-30,0.011507208645244718
2019-07-31,0.08561828731460933
2019-08-31,-0.01609502845697016
2019-09-30,-0.014065657364740192
2019-10-31,-0.044422071987895904
2019-11-30,-0.01002501836282247
2019-12-31,0.09504977143444363
2020-01-31,0.006484143682592869
2020-02-29,0.10926221356982453
2020-03-31,-0.10243131544020721
2020-04-30,0.01529579818272487
2020-05-31,-0.0017341832156215395
2020-06-30,0.05087086126661996
2020-07-31,0.038616354558828246
2020-08-31,0.017641268994111156
2020-09-30,-0.0026924548371772827
2020-10-31,-0.0457611886637673
2020-11-30,-0.0031111328730277013
2020-12-31,-0.011528149998254578
2021-01-31,-0.09264608474071379
2021-02-28,-0.02150033659303944
2021-03-31,0.012869429623769094
2021-04-30,0.022726934031291408
2021-05-31,-0.033760961252418675
2021-06-30,-0.029684199136150877
2021-07-31,0.002976221207529644
2021-08-31,0.055866490844181424
2021-09-30,0.016209609068338793
2021-10-31,-0.05149382904241114
2021-11-30,-0.03556364248465882
2021-12-31,0.06565938388141193
2022-01-31,0.02716236580846617
2022-02-28,0.013898671957542498
2022-03-31,0.05812417689479744
2022-04-30,0.04642628774126637
2022-05-31,-0.0034031349317185794
2022-06-30,-0.007494386928655526
2022-07-31,0.04062150278751475
2022-08-31,0.009831010397952464
2022-09-30,0.07403129901400426
2022-10-31,-0.0027640316659129915
2022-11-30,0.06646198739799965
2022-12-31,-0.13144691326395122
2023-01-31,-0.014400985041405745
2023-02-28,-0.05154071469221895
2023-03-31,0.019132233740792464
2023-04-30,-0.07084740405508097
2023-05-31,-0.0006986609589019199
2023-06-30,-0.003405849277044421
2023-07-31,0.01619914093926211
2023-08-31,0.001543530604418919
2023-09-30,-0.004294611475353186
2023-10-31,0.025955059434454267
2023-11-30,0.004654617941595829
2023-12-31,0.030904774477006236
2024-01-31,0.03621522574632263
2024-02-29,-0.054985548256311564
2024-03-31,-0.03681330717939062
2024-04-30,0.020429673618766797
2024-05-31,0.04638036821943636
2024-06-30,-0.007159156516239072
2024-07-31,-0.014876318163339636
2024-08-31,-0.016969812554535186
2024-09-30,0.023738159649152525
2024-10-31,0.001027744232456218
2024-11-30,0.019334602473979265
2024-12-31,0.001819210921859403
2025-01-31,-0.00938883788891376
2025-02-28,-0.041594233687875695
2025-03-31,0.056636508086087146
2025-04-30,0.05319486369274651
2025-05-31,0.005297187239603783
2025-06-30,0.004501520146634075
2025-07-31,-0.029922009524261755
2025-08-31,0.03211108124839972
2025-09-30,0.024891284878314896
2025-10-31,-0.059989229771729304
2025-11-30,0.01784527980256756
