Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-01-02,19.495243072509766,,25.714990615844727,16.358440399169922,46.341243743896484,18.10676383972168,36.067264556884766,,16.626708984375,57.292396545410156,31.700197219848633
2015-01-05,18.998342514038086,,24.65120506286621,16.014474868774414,45.25878143310547,17.83035659790039,35.81364440917969,,16.423429489135742,57.00022506713867,31.093915939331055
2015-01-06,18.83005142211914,,24.289073944091797,15.769725799560547,44.70113754272461,17.615365982055664,35.76888656616211,,16.433948516845703,56.8082275390625,30.784116744995117
2015-01-07,19.042428970336914,,24.340805053710938,15.935100555419922,45.0373649597168,17.76454734802246,36.38057327270508,,16.595163345336914,58.143898010253906,31.27092742919922
2015-01-08,19.495243072509766,,24.887250900268555,16.173233032226562,45.939422607421875,18.155019760131836,36.93259811401367,,16.710824966430664,59.1373176574707,31.740026473999023
2015-01-09,19.395063400268555,,24.690013885498047,15.954946517944336,45.447391510009766,18.097990036010742,36.63420486450195,,16.605682373046875,58.61137771606445,31.37272071838379
2015-01-12,19.350990295410156,,23.978666305541992,15.822647094726562,45.13578414916992,17.887388229370117,36.522308349609375,,16.567127227783203,58.63642501831055,31.204547882080078
2015-01-13,19.134592056274414,,23.78789520263672,15.769725799560547,45.045570373535156,17.874231338500977,36.51485061645508,,16.612689971923828,58.37762451171875,31.204547882080078
2015-01-14,18.910192489624023,,23.86226463317871,15.54482364654541,44.799556732177734,17.773317337036133,36.40293502807617,,16.756385803222656,58.28579330444336,30.828369140625
2015-01-15,18.874120712280273,,23.558324813842773,15.352996826171875,44.586341857910156,17.545181274414062,36.46263122558594,,16.889564514160156,57.65970993041992,30.430068969726562
2015-01-16,19.17466926574707,,24.324642181396484,15.538213729858398,44.88154602050781,17.716279983520508,36.75355911254883,,17.04026985168457,58.74496841430664,30.83280372619629
2015-01-20,19.206722259521484,,24.353740692138672,15.472062110900879,45.20136260986328,17.86545181274414,36.902748107910156,,17.08232879638672,58.74496841430664,30.655771255493164
2015-01-21,19.395063400268555,,24.84843635559082,15.511748313903809,45.57040786743164,17.896167755126953,37.0817756652832,,17.24705696105957,58.861839294433594,30.854915618896484
2015-01-22,19.63950538635254,,24.9648494720459,15.89540958404541,46.30024719238281,18.19011688232422,37.45476150512695,,17.17344856262207,59.56307601928711,31.434663772583008
2015-01-23,19.334959030151367,,24.78700828552246,15.723427772521973,45.914833068847656,18.185731887817383,37.03701400756836,,17.222518920898438,59.2208251953125,31.39042854309082
2015-01-26,19.419109344482422,,25.142677307128906,15.802800178527832,45.97222137451172,18.111143112182617,37.03701400756836,,17.212007522583008,59.52967834472656,31.554176330566406
2015-01-27,19.286874771118164,,25.126510620117188,15.630817413330078,45.365379333496094,17.589046478271484,36.611820220947266,,17.236539840698242,59.103919982910156,31.301902770996094
2015-01-28,18.93824005126953,,24.13710594177246,15.346382141113281,44.971771240234375,17.558340072631836,36.18663024902344,,17.089338302612305,58.2524299621582,30.894746780395508
2015-01-29,19.186683654785156,,24.217933654785156,15.472062110900879,45.48839569091797,17.725053787231445,36.477542877197266,,17.317153930664062,58.74496841430664,31.315181732177734
2015-01-30,19.110553741455078,,24.428102493286133,15.220697402954102,44.750343322753906,17.50568962097168,35.82110595703125,,16.935129165649414,57.82668685913086,30.974403381347656
2015-02-02,19.28286361694336,,25.17500877380371,15.46544361114502,45.41458511352539,17.685571670532227,36.24628829956055,,17.008729934692383,58.1522331237793,31.253231048583984
2015-02-03,19.70762825012207,,25.86372184753418,15.723427772521973,46.15264129638672,17.887388229370117,36.56705856323242,,17.07181167602539,58.54459762573242,31.917049407958984
2015-02-04,19.57940101623535,,25.436914443969727,15.683732986450195,45.80001449584961,17.922489166259766,36.58198165893555,,16.865034103393555,57.80997085571289,32.12948226928711
2015-02-05,20.05225372314453,,25.802288055419922,15.84249210357666,46.19364929199219,18.089214324951172,36.76846694946289,,17.019245147705078,58.78669357299805,32.328643798828125
2015-02-06,20.004167556762695,,25.808748245239258,15.968171119689941,46.08701705932617,18.03217315673828,36.60437774658203,,16.318283081054688,58.2524299621582,32.27995300292969
2015-02-09,19.980125427246094,,25.83462142944336,15.888797760009766,45.964027404785156,18.00584602355957,36.32836151123047,,16.174589157104492,57.56788635253906,32.15603256225586
2015-02-10,20.128387451171875,,25.82168960571289,16.014474868774414,46.21824645996094,18.273483276367188,36.75355911254883,,16.507545471191406,58.53626251220703,32.5499153137207
2015-02-11,20.096336364746094,,25.640623092651367,16.014474868774414,46.23463821411133,18.343677520751953,36.92511749267578,,16.150060653686523,58.59471130371094,32.55876922607422
2015-02-12,20.440954208374023,,25.976890563964844,16.173233032226562,46.66926956176758,18.5937557220459,37.096702575683594,,16.076446533203125,58.80339050292969,32.94378662109375
2015-02-13,20.61326789855957,,26.526561737060547,16.160005569458008,46.882476806640625,18.712223052978516,36.92511749267578,,15.831114768981934,59.03713607788086,33.1429443359375
2015-02-17,20.63730812072754,,26.607397079467773,16.212921142578125,46.94809341430664,18.720993041992188,36.93259811401367,,15.81710147857666,59.46287155151367,33.06769561767578
2015-02-18,20.693410873413086,,26.290523529052734,16.113698959350586,47.210506439208984,18.73854637145996,37.13398742675781,,16.192110061645508,59.52967834472656,33.04999923706055
2015-02-19,20.7495174407959,,26.16765785217285,16.04755401611328,47.29249572753906,18.804359436035156,36.895286560058594,,16.009864807128906,59.629859924316406,33.15179443359375
2015-02-20,20.80962371826172,,26.041555404663086,16.166614532470703,47.694332122802734,18.900882720947266,36.999725341796875,,16.013364791870117,60.255943298339844,33.38633346557617
2015-02-23,20.785579681396484,,25.934852600097656,16.12692642211914,47.48933410644531,18.914039611816406,37.104164123535156,,16.122018814086914,60.53145217895508,33.3553581237793
2015-02-24,20.873737335205078,,26.00598907470703,16.206298828125,47.67792892456055,18.971080780029297,37.23097610473633,,16.24117660522461,60.4562873840332,33.514678955078125
2015-02-25,20.813627243041992,,26.148258209228516,16.206298828125,47.57952880859375,18.852615356445312,37.104164123535156,,15.974818229675293,60.43126678466797,33.771358489990234
2015-02-26,20.6813907623291,,25.663251876831055,16.166614532470703,47.36631393432617,18.971080780029297,37.15637969970703,,15.869673728942871,60.59821701049805,33.66515350341797
2015-02-27,20.633298873901367,,25.55007553100586,16.10707664489746,47.14490509033203,18.905263900756836,37.30555725097656,,15.852149963378906,60.306034088134766,33.62089157104492
2015-03-02,20.76955223083496,,25.37224769592285,16.226150512695312,47.57952880859375,19.054439544677734,37.372703552246094,,15.547234535217285,60.84866714477539,34.023616790771484
2015-03-03,20.657350540161133,,25.466014862060547,16.179847717285156,47.27610778808594,18.927200317382812,37.23097610473633,,15.641865730285645,60.29768371582031,33.930686950683594
2015-03-04,20.585214614868164,,25.43044662475586,16.080623626708984,46.9070930480957,18.852615356445312,36.969886779785156,,15.554244041442871,60.589866638183594,33.75365447998047
2015-03-05,20.49705696105957,,25.278480529785156,16.146772384643555,46.93989181518555,18.830678939819336,37.096702575683594,,15.676909446716309,60.80692672729492,33.77578353881836
2015-03-06,20.220556259155273,,24.82581329345703,16.027706146240234,46.30024719238281,18.5981502532959,36.37311553955078,,15.207267761230469,59.61315155029297,33.373069763183594
2015-03-09,20.248607635498047,,24.647972106933594,16.100473403930664,46.73487854003906,18.685895919799805,36.57453155517578,,15.235308647155762,59.9804801940918,33.5633544921875
2015-03-10,19.94005012512207,,24.30523681640625,15.756503105163574,45.87382507324219,18.304197311401367,36.05236053466797,,15.207267761230469,59.312625885009766,33.04114532470703
2015-03-11,19.91600799560547,,24.376367568969727,15.855719566345215,45.82461166381836,18.185731887817383,35.77633285522461,,15.109136581420898,59.27921676635742,32.85969161987305
2015-03-12,20.164453506469727,,24.221176147460938,16.199691772460938,46.41505432128906,18.304197311401367,36.29851150512695,,15.396525382995605,60.06393814086914,33.527957916259766
2015-03-13,19.97210693359375,,24.130634307861328,16.087242126464844,45.9886360168457,18.20328712463379,36.01504898071289,,15.238813400268555,59.94705581665039,33.262428283691406
2015-03-16,19.94005012512207,,24.45720100402832,16.28568458557129,46.75127410888672,18.41826057434082,36.45517349243164,,15.501668930053711,61.274417877197266,33.65187454223633
2015-03-17,19.719654083251953,,24.363441467285156,16.245996475219727,46.56266784667969,18.422651290893555,36.1940803527832,,15.477137565612793,61.09909439086914,33.466007232666016
2015-03-18,20.020200729370117,,25.071550369262695,16.338600158691406,47.112098693847656,18.6727294921875,36.44023513793945,,15.894205093383789,61.892173767089844,33.76251220703125
2015-03-19,19.67557144165039,,24.673845291137695,16.18645668029785,46.79227828979492,18.620080947875977,36.276145935058594,,15.747010231018066,62.25113296508789,33.71383285522461
2015-03-20,19.802282333374023,,25.03681755065918,16.406232833862305,47.056724548339844,18.740352630615234,36.730953216552734,,15.888649940490723,62.70149612426758,34.08904266357422
2015-03-23,19.802282333374023,,24.94891929626465,16.31328010559082,46.661285400390625,18.740352630615234,36.79098892211914,,15.89924430847168,62.52571105957031,34.031307220458984
2015-03-24,19.7379150390625,,24.782899856567383,16.18048667907715,46.5047607421875,18.678672790527344,36.58086395263672,,15.722631454467773,61.98157501220703,33.85370635986328
2015-03-25,19.516687393188477,,25.10517692565918,15.921545028686523,45.71389389038086,18.198488235473633,36.490787506103516,,15.538954734802246,60.8514404296875,33.303096771240234
2015-03-26,19.560932159423828,,25.075876235961914,15.908267974853516,45.5903205871582,18.21170425415039,36.33317947387695,,15.40825080871582,60.709129333496094,33.09437561035156
2015-03-27,19.55289649963379,,24.870790481567383,15.88834285736084,45.76333999633789,18.224925994873047,36.558326721191406,,15.500091552734375,61.1444091796875,33.26313018798828
2015-03-30,19.81836700439453,,25.404666900634766,16.120729446411133,46.405914306640625,18.4451961517334,36.926109313964844,,15.69084358215332,61.7639045715332,33.605045318603516
2015-03-31,19.621267318725586,,25.254919052124023,16.007862091064453,45.9445686340332,18.255762100219727,36.58086395263672,,15.694380760192871,60.69237518310547,33.45848846435547
2015-04-01,19.67758560180664,,25.248414993286133,15.994577407836914,45.639747619628906,18.22933006286621,36.62587356567383,,15.708502769470215,60.081275939941406,33.31196594238281
2015-04-02,19.697696685791016,,25.300493240356445,16.074262619018555,45.66447448730469,18.224925994873047,36.87355422973633,,15.736764907836914,60.26544189453125,33.60948181152344
2015-04-06,19.854572296142578,,25.756244659423828,16.100807189941406,46.01047134399414,18.401140213012695,37.1662712097168,,15.955766677856445,60.357505798339844,33.76933670043945
2015-04-07,19.822389602661133,,25.77251434326172,16.01449966430664,45.90339279174805,18.361494064331055,36.99363327026367,,15.77208423614502,60.49982452392578,33.58283233642578
2015-04-08,19.878700256347656,,25.564178466796875,16.074262619018555,46.05990982055664,18.41876220703125,37.05369567871094,,15.726160049438477,61.010498046875,33.898109436035156
2015-04-09,19.93502426147461,,25.974349975585938,16.100807189941406,46.28232955932617,18.467222213745117,37.15876770019531,,15.659049987792969,61.47090530395508,33.92919158935547
2015-04-10,19.9913272857666,,26.088287353515625,16.094175338745117,46.93315887451172,18.537708282470703,37.22631072998047,,15.775618553161621,61.998294830322266,34.04464340209961
2015-04-13,19.910888671875,,25.827844619750977,16.153921127319336,46.4882926940918,18.484844207763672,37.05369567871094,,15.620197296142578,61.663448333740234,33.8581428527832
2015-04-14,19.995357513427734,,26.293367385864258,16.153921127319336,46.54596710205078,18.427576065063477,37.13624954223633,,15.697901725769043,61.7639045715332,33.840370178222656
2015-04-15,20.188426971435547,,26.921655654907227,16.21367835998535,46.62833786010742,18.59056854248047,37.03116989135742,,15.736764907836914,61.9229621887207,33.840370178222656
2015-04-16,20.144184112548828,,26.859798431396484,16.240243911743164,46.52948760986328,18.52448272705078,37.1662712097168,,15.634320259094238,61.88947296142578,33.906978607177734
2015-04-17,19.959150314331055,,26.664478302001953,16.021142959594727,45.969276428222656,18.26897621154785,36.82102584838867,,15.577802658081055,61.35371780395508,33.40522003173828
2015-04-20,20.10396385192871,,26.765405654907227,16.0875301361084,46.5047607421875,18.581756591796875,36.94861602783203,,15.810943603515625,61.73041915893555,33.77376937866211
2015-04-21,19.955129623413086,,26.482173919677734,16.007862091064453,46.44709396362305,18.572946548461914,37.01616287231445,,15.66964054107666,62.140625,33.80929946899414
2015-04-22,19.995357513427734,,26.657962799072266,16.120729446411133,46.64482116699219,18.762378692626953,37.03868103027344,,15.701444625854492,62.241065979003906,33.840370178222656
2015-04-23,20.047643661499023,,26.840269088745117,16.147293090820312,46.59537887573242,18.837270736694336,36.91109085083008,,15.789746284484863,62.475494384765625,34.00910186767578
2015-04-24,20.216585159301758,,26.687271118164062,16.120729446411133,46.397666931152344,19.000267028808594,36.91859436035156,,15.948702812194824,62.274566650390625,34.47091293334961
2015-04-27,20.393569946289062,,26.657962799072266,16.06097412109375,46.381187438964844,19.053138732910156,36.71595001220703,,15.757955551147461,61.1444091796875,34.16897201538086
